No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
229,WandaVision,2021,"Action,Comedy,Drama",38,TV-PG,MattShakman,"ElizabethOlsen,PaulBettany,KathrynHahn,TeyonahParris","Monica plots her return, Wanda navigates unsettling complications, and Vision forms a new alliance.",8.5,NA,15870,NA,Marvel
230,WandaVision,2021,"Action,Comedy,Drama",47,TV-PG,MattShakman,"ElizabethOlsen,PaulBettany,KathrynHahn,JulianHilliard",Wanda embarks on a troubling journey revisiting her past for insight into her present and future.,9,NA,17490,NA,Marvel
231,WandaVision,2021,"Action,Comedy,Drama",50,TV-PG,MattShakman,"ElizabethOlsen,PaulBettany,KathrynHahn,TeyonahParris",Wanda battles Agatha and Vision fights his S.W.O.R.D. counterpart as Hayward launches an attack on Westview.,8.4,NA,17356,NA,Marvel
245,Marvel Studios: Legends,2021,"Action,Fantasy,Sci-Fi",7,TV-14,NA,NA,"Revisit Sam's journey to becoming The Falcon, and his eventual partnering with The Winter Soldier.",7.5,NA,309,NA,Marvel
246,Marvel Studios: Legends,2021,"Action,Fantasy,Sci-Fi",8,TV-14,NA,NA,"Relive how Bucky Barnes was twisted into the ultimate assassin, and finally redeemed.",7.7,NA,310,NA,Marvel
247,Marvel Studios: Assembled,2021,Documentary,58,TV-14,BradBaruh,"AsifAli,KristenAnderson-Lopez,ChristopheBeck,PaulBettany","Join Elizabeth Olsen, Paul Bettany and more, to go behind the scenes of the groundbreaking series 'WandaVision'.",8.5,NA,551,NA,Marvel
248,Marvel Studios: Assembled,2021,Documentary,62,TV-14,BradBaruh,"NateMoore,ZoieNagelhout,KariSkogland,AnthonyMackie","Everything you need to know about the making of this hard hitting, high-flying series.",8.1,NA,283,NA,Marvel
249,Marvel Studios: Legends,2021,"Action,Fantasy,Sci-Fi",5,TV-14,NA,NA,LEGENDS retraces Zemo's diabolical scheme to incite a war amongst the Avengers themselves.,7.5,NA,256,NA,Marvel
250,Marvel Studios: Legends,2021,"Action,Fantasy,Sci-Fi",5,TV-14,NA,NA,"LEGENDS recounts how Agent Sharon Carter risked all for Steve Rogers, doing what she knew was right.",7.4,NA,252,NA,Marvel
260,Jessica Jones,2015,"Action,Crime,Drama",52,TV-MA,S.J.Clarkson,"KrystenRitter,MikeColter,RachaelTaylor,ErinMoriarty","Jessica Jones is hired to find an NYU student athlete who's vanished, but it turns out to be more than a simple missing persons case.",8,NA,6283,NA,Marvel
261,Luke Cage,2016,"Action,Crime,Drama",55,TV-MA,PaulMcGuigan,"MikeColter,MahershalaAli,SimoneMissick,TheoRossi","With tension building in the streets of Harlem thanks to ruthless club owner Cottonmouth, Luke finds it increasingly difficult to live a quiet life.",7.7,NA,4006,NA,Marvel
262,Luke Cage,2016,"Action,Crime,Drama",59,TV-MA,PaulMcGuigan,"MikeColter,MahershalaAli,SimoneMissick,TheoRossi","Luke is pulled deeper into the fight for his neighborhood when, as a favor to an old friend, he tries to help a kid who's in trouble with Cottonmouth.",8.2,NA,3502,NA,Marvel
